English1,English2,Score
"Please tell me,Will the fast train  arrive at Shizuoka from Tokyo 9am?",Can you tell me if the 9:00 a.m. bullet train will stop at Shizuoka,0.731551468372345
"I thought Tom said joking,after that he was thlious.","At first I thought Tom was joking, but later I realized he was serious",0.7038702964782715
It is keeping health that having good meals and taking exasise useally.,The secret to staying healthy is to eat a well-balanced diet and exercise regularly,0.630790650844574
I have know idea people`s thinking are valious that hobby as well.,Different people have different ideas. You never know who has what hobby,0.6494854688644409
Fire men came at burns place 30 minuts later.,The fire department arrived half an hour after the fire broke out,0.48586732149124146
The plane has gone when we arrived at airport.,"When we arrived at the airport, the plane had already taken off",0.8112738132476807
 We have been living at hotel until finding some apart anyday.  ,"We are living in a hotel for the time being, but will eventually find an apartment",0.7162033319473267
"I have never ever no  accident,even thought I have taking car 30 yarys.",I have been driving a car for almost 30 years now and fortunately I have never been in an accident,0.7377446293830872
I think weather is changing reacentlly.,The weather is changeable these days,0.7767457365989685
I have nothing now even I already read nobel book yeasterday from librally.,"I finished reading the novel I borrowed yesterday from the library, so now I have nothing to do",0.5155031681060791
It is better that is secret.,I'd better keep that to myself,0.3294556438922882
"It is getting worse reading books, but it is no curious for young people.",The fact that I read fewer books doesn't mean that today's young people have less intellectual appetite,0.5442896485328674
It is strang that no tenderlling own home.,There are seldom people who do not feel a little love for their hometown,0.40952664613723755
I want joying helping victims as vollunter.,I want to work as a volunteer to help victims of floods and earthquakes,0.4209689497947693
"I will diside absent scool and stay home,it will be recove from cold couple of days.","If he stays home from school, he is sure to get over his cold within a few days",0.5476195812225342
"Recentlly,It be abel to take abroad trips cheeply couse preousiou en.","Thanks to the appreciation of the yen, it has become cheaper to travel abroad these days",0.35078665614128113
I had sad that met many japanese tourlisets during Eourope trip.,"During my trip to Europe, I was fed up with encountering so many Japanese travelers in every country I went to",0.5357269048690796
I made it  for  your drawing  map.,"Thanks to the map I had drawn the other day, I was able to come here without getting lost",0.5217614769935608
"If I was hurr up, I made to ride on the last train last night.","If I had hurried last night, I would have made it in time for the last train",0.70928555727005
I had shocked to see the nursery kid had bump of truck this trrafic jam this street.,I was shocked to see a kindergartener being hit by a truck at the intersection of this street,0.653885543346405
It Tokyo is better climet than my home country.,The weather in Tokyo is much milder than in my hometown,0.6797449588775635
I was worried about that even Tom has made job.,"Tom insisted that all would be well, but I was worried",0.6001317501068115
It is no understand that schools upply for studys only.,Thinking that school is a place where only studying is taught is proof that you don't understand the role of school,0.6487470865249634
"You are better to stay here for miniuts,it heavy rain outside.","It's going to rain a lot in the next few days, so I think you'd better stay here for a while longer",0.5968376398086548
No beautiful even mothers love child.,There is nothing more beautiful than a mother's love for her child,0.7153174877166748
"I have waitting for him this morning,He doesn`t come.","I've been waiting for him since this morning, but he hasn't shown up yet",0.7395813465118408
"If you want to pass exam of uni, you should be sutdy hard.",Your success in college will depend on the amount of study you do over the next year,0.23131133615970612
It say that no relligion for seven of ten for young people.,It is said that seven out of ten young people in Japan are not religious at all,0.6319307088851929
I am worrid that could be speccilly even japanese people could speak English.,"It is a pity that many Japanese people mistakenly believe that as long as they can speak English, they can become a cosmopolitan",0.739687442779541
It is very dengerous driving car after drinking 2 bottles vwisky.,It is dangerous to drive a car with two bottles of whiskey in your hand,0.6121788620948792
no ambisious this nobel just mede to read even I have ever read books.,"Of the many books I have read, none has impressed me as much as the novel I just finished",0.42452800273895264
Shall we go to take hikking to Okutama if good weather next Sunday?,"This Sunday, weather permitting, why don't we go hiking in Okutama",0.4831651747226715
This song make me remember to presious memory when we had stayed N.Y.,This song always reminds me of the days we spent in New York,0.5383074879646301
"I was asked next grandmother,""Where are you going to?"" on the train.",The old lady who sat next to me on the train asked me how far I was going,0.7157948017120361
"I had tyring to make Itary first time this Sunday,I could make dellisiou.","This past Sunday, I tried Italian cooking for the first time in my life, and it turned out very tasty",0.34314534068107605
It is heavy snow to become 20 years before.,It's been 20 years since we've had such a heavy snowfall,0.8119807243347168
"I have studied mas until 4 o`clock,I am verry sllepy.","I'm very sleepy because I was up until four o'clock yesterday, busy with math prep",0.30755406618118286
"No staying hollyday,to study coming here.","The reason I came here is to do some research, not to spend a holiday",0.4609243869781494
"I`m thinking about to gone office,no deside yet.","I haven't decided yet, but I'm thinking about quitting my job",0.5490235686302185
"I have having over 2 o`clock, to make me fever reading scorrer novel last night.",Last night I got so carried away about that detective novel that I stayed up late until 2 am,0.37569868564605713
I uselly taking walk about 30 min.before breakfast.,I always take a half-hour walk before breakfast,0.8194660544395447
It is very intersting 100 times to watch baseball studium than TV .,Professional baseball is a hundred times more interesting to watch at the stadium than on TV,0.6762873530387878
"It shoud make accident,if he were to ride on that train.","If he had been on that train, he would have been involved in an accident",0.8464111089706421
I came to home until 20 years.,I recently returned home for the first time in 20 years,0.711186408996582
It is noimpposibe to make big earthquork.,It's impossible to predict when and where a major earthquake will strike,0.17667850852012634
"You can`t be diet,if you count collury.","No matter how much you exercise, you can't lose weight unless you're counting calories",0.5387794971466064
"I said to sorry to late to An,thought She was upset.","I made the mistake of being late for Ann, but he didn't forgive me",0.6156795024871826
There is USA army in Okinawa even other pri in Japan.,There is no other prefecture in Japan with such a high concentration of US military bases as Okinawa,0.6807807683944702
I was surpraise that japan`s city has many neon even gone to abroad.,It's only when you go abroad that you realize how much neon is in Japan's big cities,0.8053253889083862
I`ve ever find heavy taihoon first time.,I've never seen such a tremendous typhoon in my life,0.18747349083423615
"""""""""""""""""""""""""""""""""""""""""""""""""""",nan,0.16334399580955505
