ID,Japanese,English,【問題文出典】英文表現力を豊かにする例解和文英訳教本 公式運用編　著：小倉 弘　／　ドラゴン・イングリッシュ　著：竹岡広信
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.",
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.",
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.",
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.",
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.",
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.
",
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.",
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,
18,それは秘密にしておいた方が良い,You should leave it unsaid.,
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.",
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.",
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.",
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,
31,安売りがすべての消費者の利益になるとは限らない。,Not all bargains mean saving for the consumers.,
32,母親のわが子に対する愛情ほど美しいものはない。,Nothing is as beautiful as a mother’s love for her children.,
33,沖縄ほど米軍基地が集中している県は日本には他にはない。,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,
34,こんなすさまじい台風は生まれて始めてだ。,This is the worst typhoon I’ve experienced.,
35,一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, the older people get, he more broad-minded they become.",
36,先日20年ぶりに帰省した。,I went back to my hometown for the first time in twenty years the other day.,
37,こんなにいい天気は久しぶりですと地元の人が言っていた。,The local people said that it was the most beautiful day for years.,
38,この地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",
39,外はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,It’s pouring down outside. I think it would be better to stay here a little longer.,
40,この頃、天候が変わりやすい。,These days the weather is changeable. ,
41,梅雨に入ってからこの二週間近くも降ったりやんだりしている。,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",
42,今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,How would you like to go hiking in Okutama next Sunday if the weather is nice.,
43,天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,
44,東京の気候は私の故郷よりもはるかに穏やかだ。,The climate in Tokyo is much milder than that in my hometown.,
45,今年の冬は例年になく雪が多い。,We’ve had more snow than usual this winter.,
46,こんなに大雪になったのは20年ぶりだ。,This is the heaviest snowfall we’ve had for the past twenty years.,
